Rosalind_5931 Rosalind_8828
Rosalind_9201 Rosalind_4104
Rosalind_5685 Rosalind_4544
Rosalind_5685 Rosalind_0268
Rosalind_7741 Rosalind_5930
Rosalind_7741 Rosalind_1856
Rosalind_8575 Rosalind_3340
Rosalind_8575 Rosalind_1230
Rosalind_8575 Rosalind_0151
Rosalind_8575 Rosalind_5201
Rosalind_9516 Rosalind_1087
Rosalind_9516 Rosalind_8673
Rosalind_3893 Rosalind_9011
Rosalind_3893 Rosalind_7242
Rosalind_3893 Rosalind_0316
Rosalind_3893 Rosalind_8666
Rosalind_4755 Rosalind_0302
Rosalind_4755 Rosalind_8260
Rosalind_4755 Rosalind_2336
Rosalind_9011 Rosalind_7715
Rosalind_9011 Rosalind_7449
Rosalind_0302 Rosalind_7517
Rosalind_0302 Rosalind_7256
Rosalind_3897 Rosalind_8692
Rosalind_3610 Rosalind_3893
Rosalind_3610 Rosalind_8743
Rosalind_3610 Rosalind_9327
Rosalind_3610 Rosalind_7557
Rosalind_7517 Rosalind_2099
Rosalind_5346 Rosalind_8226
Rosalind_5346 Rosalind_9587
Rosalind_8743 Rosalind_9937
Rosalind_8477 Rosalind_3610
Rosalind_8226 Rosalind_9011
Rosalind_8226 Rosalind_7242
Rosalind_8226 Rosalind_0316
Rosalind_8226 Rosalind_8666
Rosalind_3550 Rosalind_0302
Rosalind_3550 Rosalind_8260
Rosalind_3550 Rosalind_2336
Rosalind_7242 Rosalind_8692
Rosalind_8828 Rosalind_9937
Rosalind_5930 Rosalind_9411
Rosalind_8645 Rosalind_5308
Rosalind_8645 Rosalind_6041
Rosalind_0151 Rosalind_1582
Rosalind_9327 Rosalind_7517
Rosalind_9327 Rosalind_7256
Rosalind_4544 Rosalind_0597
Rosalind_4544 Rosalind_8303
Rosalind_1856 Rosalind_3897
Rosalind_1856 Rosalind_9343
Rosalind_0268 Rosalind_5308
Rosalind_0268 Rosalind_6041
Rosalind_8175 Rosalind_0862
Rosalind_1869 Rosalind_1582
Rosalind_2356 Rosalind_5721
Rosalind_2356 Rosalind_6588
Rosalind_2356 Rosalind_2901
Rosalind_2356 Rosalind_7001
Rosalind_0862 Rosalind_6316
Rosalind_0862 Rosalind_7777
Rosalind_6588 Rosalind_6499
Rosalind_6588 Rosalind_4338
Rosalind_9587 Rosalind_5685
Rosalind_9587 Rosalind_9897
Rosalind_9587 Rosalind_0641
Rosalind_1820 Rosalind_5543
Rosalind_1820 Rosalind_9067
Rosalind_1820 Rosalind_6512
Rosalind_5308 Rosalind_1818
Rosalind_5308 Rosalind_8175
Rosalind_9343 Rosalind_1689
Rosalind_9343 Rosalind_4069
Rosalind_9343 Rosalind_8368
Rosalind_8260 Rosalind_2411
Rosalind_8260 Rosalind_4894
Rosalind_8260 Rosalind_5838
Rosalind_9897 Rosalind_7569
Rosalind_1087 Rosalind_3872
Rosalind_1087 Rosalind_0972
Rosalind_2411 Rosalind_7715
Rosalind_2411 Rosalind_7449
Rosalind_9620 Rosalind_3550
Rosalind_9620 Rosalind_8002
Rosalind_2926 Rosalind_3550
Rosalind_2926 Rosalind_8002
Rosalind_4069 Rosalind_5346
Rosalind_4069 Rosalind_1451
Rosalind_4069 Rosalind_1820
Rosalind_4069 Rosalind_9620
Rosalind_4069 Rosalind_0429
Rosalind_9118 Rosalind_3893
Rosalind_9118 Rosalind_8743
Rosalind_9118 Rosalind_9327
Rosalind_9118 Rosalind_7557
Rosalind_0316 Rosalind_8645
Rosalind_0316 Rosalind_2356
Rosalind_0316 Rosalind_8886
Rosalind_3872 Rosalind_5931
Rosalind_3872 Rosalind_4184
Rosalind_0691 Rosalind_1582
Rosalind_2336 Rosalind_4755
Rosalind_2336 Rosalind_4576
Rosalind_8692 Rosalind_2411
Rosalind_8692 Rosalind_4894
Rosalind_8692 Rosalind_5838
Rosalind_7715 Rosalind_8575
Rosalind_0972 Rosalind_3872
Rosalind_8368 Rosalind_0862
Rosalind_6332 Rosalind_2061
Rosalind_6499 Rosalind_3340
Rosalind_6499 Rosalind_1230
Rosalind_6499 Rosalind_0151
Rosalind_6499 Rosalind_5201
Rosalind_4338 Rosalind_3340
Rosalind_4338 Rosalind_1230
Rosalind_4338 Rosalind_0151
Rosalind_4338 Rosalind_5201
Rosalind_7256 Rosalind_9669
Rosalind_0250 Rosalind_8226
Rosalind_0250 Rosalind_9587
Rosalind_4894 Rosalind_8692
Rosalind_4104 Rosalind_9937
Rosalind_9411 Rosalind_1087
Rosalind_9411 Rosalind_8673
Rosalind_3001 Rosalind_9669
Rosalind_0429 Rosalind_5543
Rosalind_0429 Rosalind_9067
Rosalind_0429 Rosalind_6512
Rosalind_9623 Rosalind_2099
Rosalind_7569 Rosalind_4201
Rosalind_7569 Rosalind_2926
Rosalind_7449 Rosalind_6316
Rosalind_7449 Rosalind_7777
Rosalind_7001 Rosalind_2099
Rosalind_0641 Rosalind_7741
Rosalind_6423 Rosalind_5685
Rosalind_6423 Rosalind_9897
Rosalind_6423 Rosalind_0641
Rosalind_4576 Rosalind_7741
Rosalind_5838 Rosalind_8645
Rosalind_5838 Rosalind_2356
Rosalind_5838 Rosalind_8886
Rosalind_7557 Rosalind_5308
Rosalind_7557 Rosalind_6041
Rosalind_0626 Rosalind_4755
Rosalind_0626 Rosalind_4576
Rosalind_6512 Rosalind_4544
Rosalind_6512 Rosalind_0268
